num_threads,vector_size,mfc/s,counter
11, 3000000 ,258.621," "
12, 3000000 ,278.966," "
13, 3000000 ,302.572," "
14, 3000000 ,294.32," "
15, 3000000 ,273.448," "
16, 3000000 ,322.13," "
1, 4000000 ,54.0548," "
2, 4000000 ,90.7132," "
3, 4000000 ,119.417," "
4, 4000000 ,154.991," "
5, 4000000 ,176.702," "
6, 4000000 ,207.168," "
7, 4000000 ,235.891," "
8, 4000000 ,255.558," "
9, 4000000 ,291.481," "
10, 4000000 ,293.169," "
11, 4000000 ,290.782," "
12, 4000000 ,165.125," "
13, 4000000 ,333.667," "
14, 4000000 ,354.516," "
15, 4000000 ,323.651," "
16, 4000000 ,376.506," "
1, 5000000 ,53.2958," "
2, 5000000 ,93.633," "
3, 5000000 ,127.551," "
4, 5000000 ,159.226," "
5, 5000000 ,192.857," "
6, 5000000 ,219.742," "
7, 5000000 ,245.688," "
8, 5000000 ,265.844," "
9, 5000000 ,277.979," "
10, 5000000 ,326.99," "
11, 5000000 ,332.292," "
12, 5000000 ,354.359," "
13, 5000000 ,223.694," "
14, 5000000 ,382.263," "
15, 5000000 ,382.029," "
16, 5000000 ,372.856," "
1, 6000000 ,58.3584," "
2, 6000000 ,95.1822," "
3, 6000000 ,131.007," "
4, 6000000 ,157.832," "
5, 6000000 ,188.141," "
6, 6000000 ,231.965," "
7, 6000000 ,252.398," "
8, 6000000 ,287.466," "
9, 6000000 ,301.023," "
10, 6000000 ,210.482," "
11, 6000000 ,212.985," "
12, 6000000 ,372.093," "
13, 6000000 ,367.287," "
14, 6000000 ,401.849," "
15, 6000000 ,268.348," "
16, 6000000 ,273.373," "
1, 7000000 ,58.5182," "
2, 7000000 ,98.0983," "
3, 7000000 ,136.039," "
4, 7000000 ,170.869," "
5, 7000000 ,203.755," "
6, 7000000 ,247.77," "
7, 7000000 ,266.606," "
8, 7000000 ,293.034," "
9, 7000000 ,317.158," "
10, 7000000 ,323.774," "
11, 7000000 ,363.806," "
12, 7000000 ,410.557," "
13, 7000000 ,418.285," "
14, 7000000 ,424.603," "
15, 7000000 ,269.864," "
16, 7000000 ,463.607," "
1, 8000000 ,59.7412," "
2, 8000000 ,96.1134," "
3, 8000000 ,139.74," "
